"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Jordan Spieth",11500,"Golf@Golf 05:00AM ET",79.238,"Golf"
"G","Dustin Johnson",11200,"Golf@Golf 05:00AM ET",88.545,"Golf"
"G","Hideki Matsuyama",11000,"Golf@Golf 05:00AM ET",72.083,"Golf"
"G","Jason Day",10600,"Golf@Golf 05:00AM ET",79.632,"Golf"
"G","Rory McIlroy",9900,"Golf@Golf 05:00AM ET",84.043,"Golf"
"G","Patrick Reed",9500,"Golf@Golf 05:00AM ET",72.355,"Golf"
"G","Adam Scott",9400,"Golf@Golf 05:00AM ET",84.048,"Golf"
"G","Bubba Watson",9200,"Golf@Golf 05:00AM ET",71.643,"Golf"
"G","Justin Thomas",8900,"Golf@Golf 05:00AM ET",69.100,"Golf"
"G","Brandt Snedeker",8700,"Golf@Golf 05:00AM ET",63.000,"Golf"
"G","Henrik Stenson",8600,"Golf@Golf 05:00AM ET",81.667,"Golf"
"G","Daniel Berger",8500,"Golf@Golf 05:00AM ET",65.796,"Golf"
"G","Charl Schwartzel",8300,"Golf@Golf 05:00AM ET",75.938,"Golf"
"G","Russell Knox",8200,"Golf@Golf 05:00AM ET",71.125,"Golf"
"G","Tony Finau",8000,"Golf@Golf 05:00AM ET",59.453,"Golf"
"G","Jimmy Walker",7800,"Golf@Golf 05:00AM ET",59.904,"Golf"
"G","Ryan Moore",7700,"Golf@Golf 05:00AM ET",69.940,"Golf"
"G","Brendan Steele",7600,"Golf@Golf 05:00AM ET",64.204,"Golf"
"G","Sergio Garcia",7600,"Golf@Golf 05:00AM ET",76.357,"Golf"
"G","William McGirt",7500,"Golf@Golf 05:00AM ET",60.967,"Golf"
"G","Jason Dufner",7400,"Golf@Golf 05:00AM ET",66.833,"Golf"
"G","Danny Willett",7300,"Golf@Golf 05:00AM ET",66.400,"Golf"
"G","Si Woo Kim",7300,"Golf@Golf 05:00AM ET",58.243,"Golf"
"G","Branden Grace",7200,"Golf@Golf 05:00AM ET",69.286,"Golf"
"G","Pat Perez",7100,"Golf@Golf 05:00AM ET",52.750,"Golf"
"G","Billy Hurley",7000,"Golf@Golf 05:00AM ET",52.667,"Golf"
"G","Aaron Baddeley",7000,"Golf@Golf 05:00AM ET",57.283,"Golf"
"G","Mackenzie Hughes",6900,"Golf@Golf 05:00AM ET",67.500,"Golf"
"G","Brian Stuard",6900,"Golf@Golf 05:00AM ET",48.173,"Golf"
"G","James Hahn",6800,"Golf@Golf 05:00AM ET",53.776,"Golf"
"G","Cody Gribble",6700,"Golf@Golf 05:00AM ET",85.100,"Golf"
"G","Fabian Gomez",6600,"Golf@Golf 05:00AM ET",53.638,"Golf"
"G","Jhonattan Vegas",6500,"Golf@Golf 05:00AM ET",63.855,"Golf"
"G","Vaughn Taylor",6400,"Golf@Golf 05:00AM ET",50.963,"Golf"
"G","Charley Hoffman",6300,"Golf@Golf 05:00AM ET",52.586,"Golf"
"G","Jim Herman",6200,"Golf@Golf 05:00AM ET",52.076,"Golf"
"G","Rod Pampling",6100,"Golf@Golf 05:00AM ET",47.524,"Golf"
"G","Greg Chalmers",6000,"Golf@Golf 05:00AM ET",38.118,"Golf"
